tag,x,y,aug_tag,aug_x,aug_y,is_valid
blue,10.11,1.68,blue,10.242719857814599,1.5392735183041402,True
blue,15.33,1.98,blue,15.520392174132457,1.948242795881771,False
blue,20.6,2.5,blue,20.67580507445202,2.616703313392296,True
blue,24.54,3.04,blue,24.383879673210487,3.1460441701638127,True
blue,29.72,4.01,blue,29.424015636508447,4.11782959738886,True
blue,34.76,5.27,blue,34.707245256816044,5.313713843188833,True
blue,38.39,6.41,blue,38.35066766200749,6.519566519512099,True
blue,42.98,8.22,blue,42.95545442943673,8.023526694230162,True
blue,47.2,10.32,blue,47.287303272858104,10.362730105688696,True
blue,50.99,12.71,blue,50.91928306147964,12.823656432507189,True
blue,54.27,15.35,blue,54.30523414861085,15.307980953440081,True
blue,57.58,18.93,blue,57.509616310259716,18.94160680745493,True
blue,59.54,21.96,blue,59.53957603461853,21.969628482349318,True
blue,61.1,25.86,blue,60.97558364598467,25.70142249762705,True
blue,61.65,29.81,blue,61.574454555950666,29.86868997489754,True
blue,61.2,33.72,blue,61.16964158844911,33.77013639860853,True
blue,59.76,37.53,blue,59.76423911174458,37.55844801561013,True
blue,57.34,41.15,blue,57.457618786722094,40.95312639158757,True
blue,54.0,44.48,blue,54.01718696728526,44.56024491491302,True
blue,50.72,46.89,blue,50.709292192230386,47.096360882165456,True
blue,46.96,49.01,blue,47.100170993841026,49.02637849619002,False
blue,42.79,50.83,blue,42.66392377609189,50.91432861975749,True
blue,38.28,52.34,blue,38.25492038100178,52.43430404283018,True
blue,33.51,53.51,blue,33.44297813143898,53.645574140010076,True
blue,28.55,54.38,blue,28.685060453396616,54.52759659437925,True
blue,23.48,54.96,blank,23.653407616362244,54.96122186654866,True
blue,19.64,55.22,blue,19.724681576266686,55.31623781836712,True
blue,14.53,55.36,blue,14.55794589657611,55.51963307281226,True
blue,9.49,55.32,blue,9.359737814896011,55.28741830949956,True
blue,4.54,55.13,blue,4.5970387380514,55.1362866830729,False
blue,-0.26,54.86,blue,-0.30808633188652046,55.00046723102047,True
blue,-4.89,54.55,blue,-4.825739823741412,54.38749865140981,True
blue,-10.42,54.2,blue,-10.481875028171142,54.13112434813171,True
blue,-15.66,53.97,blue,-15.726580009190807,53.94060794309949,False
blue,-20.63,53.95,blue,-20.576808906764775,54.021846442557965,True
blue,-25.35,54.22,blue,-25.394813743019334,54.20359068692178,True
blue,-29.86,54.81,blue,-29.67459325039118,54.799686188122166,False
blue,-34.22,55.76,blue,-34.10138982392706,55.833756078446925,True
blue,-39.31,57.35,blue,-39.46162953989266,57.34789819736324,True
blue,-43.51,59.0,blue,-43.531518537231406,59.074679889575805,False
blue,-47.72,60.9,blue,-47.79414036207219,60.81709391991668,False
blue,-51.99,62.95,blue,-52.131626789500196,62.86557334425078,True
blue,-57.26,65.51,blue,-57.199684131499616,65.42382927285676,True
blue,-60.87,67.19,blue,-60.87791882789805,66.86236404237887,True
blue,-65.5,69.17,blue,-65.42288212067949,69.0446019345466,True
blue,-70.25,70.94,blue,-70.2632054503823,70.883527108743,True
blue,-75.07,72.41,blue,-75.2971876786152,72.41484614857927,False
blue,-78.97,73.31,blue,-78.94739114345242,73.21592075020993,True
blue,-83.82,74.04,blue,-83.83376531580622,74.04778054230515,True
blue,-88.6,74.29,blue,-88.45554304909759,74.30856354349292,True
blue,-93.25,74.02,blue,-93.21796073153796,73.96431023048392,True
blue,-97.69,73.23,blue,-97.68159226115829,73.24123570568436,True
blue,-101.89,71.93,blue,-101.88463248814868,72.05142644510109,True
blue,-105.78,70.14,blue,-105.7660382564145,70.13486947485472,True
