tag,x,y,aug_tag,aug_x,aug_y,detected
blue,10.89,1.58,blue,10.785018977944137,1.633009042248755,True
blue,15.68,1.41,yellow,15.577942387015792,1.6776735867515704,True
blue,20.56,0.51,blue,20.676374689128917,0.5818552743175948,False
blue,24.65,-1.74,blue,24.55325669415402,-1.7766272410328996,True
blue,27.99,-5.59,blue,27.83654903454862,-5.480744028199792,True
blue,30.52,-9.58,blue,30.406063479564164,-9.588601848333242,True
blue,33.51,-13.65,blue,33.70442320879402,-13.481134471745554,True
blue,37.62,-15.98,blue,37.67837929619964,-15.875038970124766,True
blue,41.88,-14.26,blue,41.986227277118005,-14.201440924537257,True
blue,44.99,-10.83,blue,44.939153278790606,-10.774378897497444,True
blue,47.73,-6.44,blue,47.665465750214146,-6.4089050347550485,True
blue,50.03,-2.01,blue,50.11093715305869,-1.8861809727971561,True
blue,52.2,2.22,blue,52.38523762751133,2.409221169659113,True
blue,54.93,6.29,blue,54.924675994886385,6.235422625268506,False
blue,58.92,8.7,blue,58.81322729677208,8.769022925866707,True
blue,63.47,8.18,blue,63.44457125175658,8.223082461444653,True
blue,67.76,6.08,blue,68.07349196593306,6.097250760414548,True
blue,72.24,3.23,blue,72.21814134591133,3.132306955476858,True
blue,76.27,0.51,blue,76.39214300967205,0.47637132828097856,True
blue,80.07,-2.06,blue,80.0063405832587,-2.0585578404032496,True
blue,84.7,-5.06,blue,84.64975255788103,-4.860796198944276,True
blue,88.91,-7.62,blue,88.83500181784997,-7.539427575461879,False
blue,93.21,-10.02,blue,93.19097194189406,-10.119518690018282,False
blue,97.53,-12.19,blue,97.57417901437934,-12.170427918466578,True
blue,102.39,-14.32,blue,102.41558398083657,-14.360133408442664,True
blue,107.1,-16.01,blue,107.05490043283989,-16.148220056751306,True
blue,111.55,-17.25,blue,111.70779659063406,-17.159726425738388,True
blue,116.67,-18.15,blue,116.63763252097915,-18.135943615005598,True
blue,121.58,-18.34,blue,121.56863616244758,-18.219259390571573,True
blue,126.5,-17.48,blue,126.40057386208277,-17.35935843242797,True
blue,130.36,-14.93,blue,130.10806401573723,-14.955685302032093,True
blue,130.94,-10.57,blue,130.91372846910713,-10.513431512745226,True
blue,128.53,-6.19,blue,128.62127049376625,-6.117707137053903,True
blue,125.06,-2.61,blue,125.21107847507714,-2.575452026712729,True
blue,121.32,0.34,blue,121.46624688323374,0.257734218305086,True
blue,117.1,3.14,blue,117.14933292749977,2.9336425974946105,True
blue,112.73,5.75,blank,112.70428478273867,5.7833077914859095,True
blue,108.52,8.16,blue,108.4941876313967,8.238006383571614,True
blue,104.42,10.66,blue,104.3883284899889,10.72567275039515,False
blue,100.32,13.86,blue,100.29941052174156,14.003287707535337,True
blue,97.48,17.56,blue,97.61004136956221,17.58948003305161,True
blue,95.54,22.26,blue,95.62258775087705,22.278125905733262,True
blue,93.18,26.35,blue,93.02649949592481,26.354270565030223,True
blue,89.08,28.43,blue,89.1509936604471,28.460023713554442,True
blue,84.25,28.79,blue,84.2045904218697,28.823289187313396,True
blue,79.19,28.19,blue,79.010133626818,28.15060278183467,True
blue,74.22,27.11,blue,74.37655318283666,27.13071488985774,True
blue,69.31,25.82,blue,69.22964539783464,25.91668597344416,False
blue,64.8,24.73,blue,64.70920611889667,24.69290183380064,True
blue,59.76,24.45,blue,59.81244180377865,24.35449735651559,False
blue,56.16,26.63,blue,56.07960395534004,26.57466437065752,True
blue,54.57,31.06,blue,54.6610507167078,30.84713265624619,True
blue,54.21,36.07,blue,54.287768749551375,36.116116398927176,True
blue,54.2,40.87,blue,54.26364780034491,40.81941925371445,True
blue,54.22,46.17,blue,54.13205304526526,46.09941239971378,False
blue,54.14,50.98,blue,54.113807171260646,51.031132683792016,True
blue,53.86,55.7,blue,53.8097942939413,55.83557875821555,True
blue,53.24,60.67,blank,53.30999643132443,60.647438812767135,True
blue,51.95,65.68,blue,51.89033481205766,65.65559734841626,True
blue,49.22,69.61,blue,49.23073614544084,69.68267637929989,True
blue,45.5,67.59,blue,45.41375806241497,67.6286876658894,True
blue,42.95,63.55,blue,43.1180686630968,63.61341473539904,True
blue,41.01,59.29,blue,40.8665779708699,59.14045104726232,True
blue,39.08,54.25,blue,38.94082381904396,54.14057024361063,True
blue,37.28,49.53,blue,37.31783293470329,49.59112088345507,True
blue,35.2,45.28,blue,35.077040480165856,45.43225175529224,True
blue,31.9,42.08,yellow,32.03188570183599,42.22603870596543,True
blue,27.24,41.64,blue,27.250945988187386,41.80411626746057,True
blue,22.66,43.1,blue,22.642351366498094,43.18533409955737,True
blue,17.88,44.97,blue,17.95830590980212,44.73163011227043,True
blue,13.15,46.17,blue,13.296603332766296,46.33952903170339,True
blue,8.8,44.94,blue,8.782615753991264,44.75421179491331,True
blue,7.74,40.44,blue,7.847636422588046,40.54737070807823,True
blue,8.27,35.81,blue,8.396324015102715,35.90333758959852,True
blue,9.1,30.64,blue,8.991994362055753,30.521347232055092,True
blue,8.79,26.19,blue,8.80405213565112,26.162677827765695,True
blue,5.82,22.8,blue,5.750577430614334,22.783707706147048,True
blue,1.37,21.39,blue,1.2545542633957583,21.282864748708803,False
blue,-3.5,20.8,blue,-3.5252070862762133,20.915076217369595,True
blue,-8.71,20.45,blue,-8.737118692688055,20.494533575654465,True
blue,-13.81,20.16,big_orange,-13.767403188602463,20.034152199474118,True
