tag,x,y,aug_tag,aug_x,aug_y,detected
blue,11.41,1.61,blue,11.357739152221734,1.5533254074717833,True
blue,15.88,1.82,blue,15.923550366941283,1.8587209061909082,True
blue,20.93,2.26,blank,20.860393930238594,2.241235952930183,True
blue,26.27,3.08,blue,26.31553484592113,3.283902040469905,False
blue,30.87,4.28,blue,30.946525520980348,4.214406630386201,True
blue,35.39,6.51,blue,35.41100582618285,6.516246136702204,True
blue,36.16,10.11,blue,36.20505741666007,10.032912225917638,True
blue,32.15,13.1,blue,32.31339664079491,13.128120425442397,True
blue,27.79,14.93,blue,27.997297987677424,14.721976549945763,True
blue,23.18,16.33,blue,23.228057210469508,16.335674924357697,True
blue,18.25,17.51,blue,18.173065417826226,17.450187873587886,True
blue,13.35,18.52,blue,13.497897522229287,18.59954513383572,True
blue,8.26,19.56,blue,8.184374329571236,19.515739050861686,True
blue,3.52,20.81,blue,3.5896662905334895,20.866392232389224,True
blue,-0.64,22.96,blue,-0.5772894290705919,22.942452163391724,True
blue,-2.86,27.06,blue,-2.951562805268162,26.90730590230204,False
blue,-2.48,31.56,blue,-2.422985458273776,31.568210339046693,True
blue,-1.15,36.43,blue,-1.1146835256487004,36.660582723649,True
blue,0.12,41.4,blue,0.09965006001535688,41.26623220038662,True
blue,0.64,46.24,blue,0.7006629487238474,46.03526955793225,True
blue,-0.51,50.96,blue,-0.5480472714041204,50.86598456001128,True
blue,-4.06,53.82,blue,-4.080279666115227,53.73746795789018,True
blue,-8.95,54.41,blue,-8.813481733543329,54.37770903017292,True
blue,-13.62,53.35,blue,-13.57582758548926,53.436132190452035,True
blue,-17.81,51.2,blue,-17.758622713076814,51.299534125094155,False
blue,-21.92,47.96,blue,-21.975577495058737,47.991221354465154,True
blue,-25.08,44.69,blue,-24.852933354488975,44.52260803418699,False
blue,-28.2,40.79,blue,-28.127851382219802,40.87397996518569,True
blue,-31.21,36.45,blue,-31.212668739486798,36.44455211862663,True
blue,-33.73,32.45,blue,-33.79646813916483,32.37229755415202,False
