tag,x,y,aug_tag,aug_x,aug_y,is_valid
blue,10.45,1.35,blue,10.39275676018791,1.3809308949455679,True
blue,13.96,1.04,blue,13.882350779841879,0.9946280387878493,True
blue,16.67,0.52,blue,16.64595017377047,0.4955524377732214,False
blue,18.33,-0.1,blue,18.247223999717768,-0.05888406121953222,True
blue,19.48,-0.81,blue,19.601226861818585,-0.9143448913391745,True
blue,20.23,-1.52,blank,20.28017028178543,-1.6158813094954216,True
blue,20.86,-2.5,blue,20.811453363492017,-2.4915976360714516,True
blue,21.2,-3.46,blue,21.188975658181054,-3.3579486796950277,True
blue,21.34,-4.76,blue,21.485898904720905,-4.775537008673657,False
blue,21.13,-6.55,blue,20.918847510312474,-6.525359357469159,True
blue,20.39,-8.93,blue,20.536741895721985,-9.010922827156412,False
blue,18.91,-12.27,blue,18.88810917850306,-12.297194533311883,True
blue,16.9,-16.2,blue,16.85480561302509,-16.229155820134874,True
blue,14.67,-20.46,blue,14.585263215830365,-20.507736024142034,True
blue,12.58,-24.65,blue,12.541954219676652,-24.640387663353483,True
blue,10.81,-28.6,blue,10.705061046598036,-28.609749042632032,True
blue,9.35,-32.55,blue,9.451222941657452,-32.536111574173084,True
blue,8.48,-35.89,big_orange,8.614665112176596,-35.92312068595136,True
blue,8.16,-38.78,big_orange,8.109147135243177,-38.76599480478676,True
blue,8.38,-40.62,blue,8.281335563629197,-40.66511499430779,False
blue,8.77,-41.5,blue,8.751397859976047,-41.53965389755765,True
blue,9.26,-41.99,blue,9.178754448248554,-42.05143669127362,True
blue,10.02,-42.28,blue,9.973748557762388,-42.26497423709174,True
blue,11.41,-42.28,blue,11.394493907485916,-42.44999984967682,True
blue,13.72,-41.62,blue,13.777308095105576,-41.638459095117184,True
blue,16.68,-40.13,blue,16.558093627885697,-40.063064410267025,True
blue,19.94,-37.98,blue,19.887123787581213,-38.10305790917704,False
blue,23.47,-35.26,blue,23.38265066757567,-35.41622910307408,True
blue,27.1,-32.22,blue,26.962522756283054,-32.2080883054452,True
blue,30.53,-29.32,blue,30.405952575949104,-29.393595956811154,True
blue,33.42,-27.1,blue,33.392547551514845,-27.005113482633764,True
blue,35.73,-25.67,blue,35.78858215755084,-25.615508192545438,True
