tag,x,y,aug_tag,aug_x,aug_y,is_valid
blue,10.71,1.83,blue,10.774811441723541,1.7298109708135534,True
blue,15.58,2.2,blue,15.703937965294678,2.1400258593793136,True
blue,20.46,2.73,blue,20.558506724006282,2.8507462534857497,True
blue,24.35,3.27,blue,24.16565163647278,3.2213237902755076,False
blue,29.22,4.11,blue,29.221448877056773,4.094562917728033,True
blue,34.06,5.13,blue,34.10285910581973,5.053187042980299,True
blue,37.92,6.1,blue,37.7441407343419,5.981533749078171,True
blue,42.7,7.51,blue,42.64127312953469,7.481516036171741,True
blue,46.48,8.81,blue,46.460522372050136,8.822312182929174,True
blue,51.13,10.65,blue,51.1220306514236,10.655053631618333,False
blue,54.77,12.31,blue,54.74007892729748,12.368527205817175,True
blue,58.34,14.14,blue,58.289516064891,13.807988369391387,True
blue,62.65,16.67,blue,62.770506972709285,16.542819505050595,True
blue,65.96,18.9,blue,65.82840483877763,18.925939477510262,True
blue,69.14,21.3,blue,69.02332032772381,21.24896758931067,True
blue,72.9,24.54,blue,72.86473137706237,24.490207552454496,True
blue,75.7,27.32,blue,75.68856676151469,27.309772459429325,True
blue,78.31,30.26,blue,78.38347428630615,30.231603723930252,True
blue,80.71,33.35,blue,80.87817019546026,33.366788890866886,True
blue,83.39,37.42,blue,83.4811224525782,37.4120866451331,True
blue,85.26,40.82,blue,85.43396803808275,40.78785362993154,True
blue,86.86,44.32,blue,86.80500157322909,44.315677104368675,True
blue,88.2,47.93,blue,88.20105736888878,47.913920756046814,True
blue,89.25,51.61,blue,89.21162233145003,51.66504700504328,True
blue,90.16,56.29,blue,90.35913260902834,56.43546036361699,True
blue,90.56,60.08,blue,90.65159610962905,60.07396128114641,True
blue,90.66,63.89,blue,90.84000924944812,64.05808044246686,True
blue,90.46,67.69,blue,90.30441999833175,67.57304351900196,True
blue,89.8,72.41,blue,89.75363175624945,72.49871209577604,False
blue,88.93,76.14,blue,88.95153551800354,76.19750470115072,True
blue,87.78,79.79,blue,87.7024601774028,80.0434911165052,True
blue,86.36,83.37,yellow,86.2201660590307,83.31670207682139,True
blue,84.67,86.85,blue,84.55856610283055,86.8904086501214,True
blue,82.19,91.02,blue,82.15408279421564,91.07572704139999,True
blue,79.95,94.22,blue,79.81161873065228,94.22943612478889,True
blue,77.48,97.27,blue,77.34973954393686,97.12128536398394,True
blue,74.81,100.17,blue,75.0108895633653,100.24639663569523,True
blue,71.2,103.56,blue,71.2069961243043,103.58407836871193,True
blue,68.13,106.08,blue,68.03209896039304,106.09140656953373,True
blue,64.91,108.43,blue,64.87580809094891,108.25139858304897,True
blue,60.7,111.12,blue,60.79126476417707,111.0523110125962,True
blue,57.21,113.08,blue,57.10072344360358,113.08472461274636,True
blue,53.62,114.87,blue,53.604283910991704,114.9325958864727,True
blue,49.03,116.87,blue,49.34874900597988,116.82515503363595,True
blue,45.29,118.29,blue,45.291265323780635,118.18518260294704,True
blue,40.55,119.84,blue,40.700553537783435,119.97486207387487,True
blue,36.72,120.93,blue,36.59945172821964,120.79508160467404,True
blue,31.9,122.09,blue,31.82562006658522,122.08443034875549,True
blue,27.05,123.05,blue,27.093456866807003,123.0473077364492,False
blue,23.16,123.69,big_orange,23.143253340347606,123.74370375855688,True
blue,18.3,124.34,blue,18.24570887989822,124.26148041916863,True
