tag,x,y
blue,10.98,1.81
blue,16.25,2.22
blue,21.28,2.80
blue,25.97,3.55
blue,31.06,4.65
blue,35.48,5.95
blue,40.19,7.91
blue,44.30,10.72
blue,45.69,14.81
blue,42.45,18.35
blue,38.23,20.69
blue,33.51,22.76
blue,28.99,24.74
blue,24.76,27.06
blue,20.81,30.02
blue,17.00,33.30
blue,12.98,35.81
blue,8.31,36.98
blue,3.36,36.86
blue,-1.31,36.01
blue,-6.38,34.78
blue,-11.23,33.89
blue,-15.79,34.16
blue,-20.13,36.42
blue,-23.36,39.87
blue,-26.22,43.87
blue,-28.94,47.83
blue,-32.09,51.89
blue,-35.61,55.26
blue,-39.99,57.06
blue,-43.83,55.02
blue,-46.07,50.76
blue,-47.30,46.08
blue,-47.97,41.22
blue,-48.33,36.14
blue,-48.52,31.15
blue,-48.74,26.04
blue,-49.24,21.12
blue,-50.48,16.30
blue,-52.72,12.19
blue,-55.95,8.48
blue,-59.30,4.88
blue,-61.94,0.80
blue,-63.29,-3.85
blue,-63.59,-8.72
blue,-63.59,-13.84
blue,-64.12,-18.49
blue,-65.69,-23.19
blue,-67.98,-27.36
blue,-70.93,-31.70
blue,-73.75,-35.63
blue,-76.61,-39.77
blue,-79.29,-44.09
blue,-81.47,-48.16
blue,-83.46,-52.67
blue,-85.12,-57.59
blue,-86.29,-62.51
blue,-87.00,-67.41
blue,-87.25,-72.23
blue,-86.95,-77.17
blue,-85.87,-81.84
blue,-83.28,-86.07
blue,-79.14,-87.86
blue,-74.53,-87.04
blue,-70.12,-84.73
blue,-66.21,-81.81
blue,-62.35,-78.33
blue,-58.99,-75.01
blue,-55.50,-71.56
blue,-51.57,-68.23
blue,-47.30,-66.02
blue,-42.62,-65.51
blue,-37.76,-66.36
blue,-33.01,-67.11
blue,-28.77,-65.55
blue,-26.98,-61.35
blue,-26.77,-56.57
blue,-27.35,-51.72
blue,-28.43,-46.87
blue,-29.77,-42.37
blue,-31.43,-37.68
blue,-33.36,-32.89
blue,-35.48,-28.12
blue,-37.68,-23.47
blue,-39.86,-19.06
blue,-41.90,-14.95
blue,-44.20,-10.07
blue,-45.89,-5.46
blue,-46.09,-1.17
blue,-43.09,2.08
blue,-38.28,3.01
blue,-33.80,3.05
blue,-28.38,2.79
blue,-23.98,2.51
blue,-19.21,2.20
blue,-14.12,1.90
blue,-8.79,1.66
blue,-4.42,1.54
blue,1.11,1.50
yellow,11.16,-1.19
yellow,16.54,-0.77
yellow,20.68,-0.31
yellow,25.57,0.43
yellow,30.96,1.54
yellow,35.72,2.87
yellow,40.40,4.68
yellow,44.52,7.01
yellow,48.01,10.67
yellow,48.80,14.75
yellow,46.53,18.87
yellow,42.44,21.89
yellow,38.01,24.09
yellow,33.60,25.97
yellow,29.08,28.05
yellow,24.95,30.57
yellow,21.07,33.78
yellow,17.19,36.89
yellow,12.96,39.04
yellow,8.23,40.00
yellow,3.38,39.88
yellow,-1.60,39.02
yellow,-6.38,37.86
yellow,-11.23,36.91
yellow,-15.92,37.34
yellow,-19.70,40.16
yellow,-22.80,44.19
yellow,-25.47,48.09
yellow,-28.40,52.12
yellow,-31.62,55.77
yellow,-35.46,58.74
yellow,-39.95,60.06
yellow,-44.26,58.70
yellow,-47.48,54.94
yellow,-49.33,50.44
yellow,-50.42,45.64
yellow,-51.01,40.99
yellow,-51.35,35.77
yellow,-51.52,31.25
yellow,-51.76,25.80
yellow,-52.32,20.91
yellow,-53.71,16.38
yellow,-56.45,12.34
yellow,-59.87,8.75
yellow,-63.04,4.91
yellow,-65.24,0.67
yellow,-66.34,-4.00
yellow,-66.59,-9.01
yellow,-66.60,-14.00
yellow,-67.23,-18.63
yellow,-69.07,-23.27
yellow,-71.66,-27.51
yellow,-74.52,-31.56
yellow,-77.41,-35.62
yellow,-80.06,-39.58
yellow,-82.54,-43.74
yellow,-84.91,-48.41
yellow,-86.71,-52.77
yellow,-88.23,-57.56
yellow,-89.31,-62.35
yellow,-90.02,-67.51
yellow,-90.25,-72.22
yellow,-89.98,-77.19
yellow,-89.02,-81.85
yellow,-87.03,-86.23
yellow,-83.50,-89.62
yellow,-78.99,-90.87
yellow,-74.23,-90.11
yellow,-70.02,-88.19
yellow,-65.80,-85.33
yellow,-62.07,-82.18
yellow,-58.54,-78.80
yellow,-54.95,-75.21
yellow,-51.43,-71.93
yellow,-47.34,-69.23
yellow,-42.58,-68.53
yellow,-37.82,-69.42
yellow,-33.06,-70.11
yellow,-28.52,-69.12
yellow,-25.23,-65.66
yellow,-23.95,-61.37
yellow,-23.77,-56.41
yellow,-24.28,-51.88
yellow,-25.34,-46.85
yellow,-26.66,-42.23
yellow,-28.32,-37.42
yellow,-30.26,-32.53
yellow,-32.02,-28.47
yellow,-34.24,-23.71
yellow,-36.45,-19.16
yellow,-38.56,-14.95
yellow,-40.96,-9.98
yellow,-42.76,-5.50
yellow,-42.64,-1.11
yellow,-38.10,0.01
yellow,-33.18,0.03
yellow,-28.56,-0.20
yellow,-23.25,-0.55
yellow,-18.39,-0.86
yellow,-13.22,-1.15
yellow,-8.90,-1.33
yellow,-3.36,-1.47
yellow,1.12,-1.50
big_orange,6.88,1.62
big_orange,6.98,-1.38
big_orange,6.38,1.60
big_orange,6.48,-1.40
