tag,x,y
blue,10.24,1.41
blue,13.42,1.12
blue,15.68,0.63
blue,17.23,-0.01
blue,18.33,-0.77
blue,19.05,-1.56
blue,19.64,-2.60
blue,19.96,-3.76
blue,20.05,-5.39
blue,19.74,-7.59
blue,18.85,-10.68
blue,17.41,-14.56
blue,15.60,-19.07
blue,13.88,-23.45
blue,12.27,-27.93
blue,10.96,-32.14
blue,9.99,-36.13
blue,9.40,-39.95
blue,9.28,-43.37
blue,9.63,-45.92
blue,10.30,-47.64
blue,11.11,-48.67
blue,12.08,-49.26
blue,13.44,-49.52
blue,15.50,-49.28
blue,18.32,-48.28
blue,21.74,-46.51
blue,25.78,-44.10
blue,29.47,-41.98
blue,33.08,-40.16
blue,37.20,-38.31
blue,40.40,-36.63
blue,42.95,-34.75
blue,45.00,-32.60
blue,46.85,-29.90
blue,48.45,-26.65
blue,49.78,-22.97
blue,50.88,-18.87
blue,51.83,-14.40
blue,52.74,-9.52
blue,53.59,-5.36
blue,54.57,-1.69
blue,55.68,1.40
blue,57.04,4.18
blue,58.65,6.68
blue,60.59,9.00
blue,62.87,11.19
blue,65.56,13.25
blue,68.59,15.17
blue,72.19,17.11
blue,76.47,19.22
blue,80.67,21.34
blue,84.27,23.41
blue,87.28,25.54
blue,89.55,27.66
blue,91.18,29.84
blue,92.10,31.96
blue,92.44,34.08
blue,92.20,36.66
blue,91.21,40.37
blue,90.56,43.14
blue,90.37,45.33
blue,90.56,47.47
blue,91.15,49.74
blue,92.29,52.41
blue,94.02,55.46
blue,96.33,58.97
blue,99.15,63.02
blue,101.93,67.04
blue,104.45,70.85
blue,106.78,74.71
blue,108.66,78.28
blue,110.21,81.96
blue,111.05,84.98
blue,111.22,87.21
blue,110.99,88.38
blue,110.60,89.02
blue,110.09,89.37
blue,109.10,89.58
blue,107.23,89.37
blue,104.43,88.38
blue,101.28,86.70
blue,97.84,84.41
blue,94.44,81.80
blue,90.85,78.75
blue,87.35,75.58
blue,83.71,72.16
blue,80.37,69.06
blue,77.48,66.58
blue,74.96,64.77
blue,72.94,63.72
blue,71.34,63.21
blue,69.87,63.06
blue,68.45,63.22
blue,66.92,63.74
blue,65.14,64.78
blue,62.47,66.94
blue,59.69,69.16
blue,57.82,70.14
blue,56.61,70.39
blue,55.59,70.24
blue,54.56,69.67
blue,53.34,68.33
blue,52.09,66.01
blue,50.97,62.63
blue,50.21,58.88
blue,49.69,54.63
blue,49.41,50.06
blue,49.32,45.61
blue,49.37,40.72
blue,49.47,35.88
blue,49.49,31.52
blue,49.31,27.92
blue,48.90,25.31
blue,48.29,23.47
blue,47.59,22.23
blue,46.75,21.27
blue,45.73,20.54
blue,44.46,20.01
blue,42.83,19.71
blue,40.52,19.73
blue,37.22,20.20
blue,32.86,21.16
blue,28.12,22.27
blue,23.77,23.19
blue,19.22,23.94
blue,14.97,24.39
blue,10.89,24.55
blue,6.68,24.40
blue,2.51,23.93
blue,-1.82,23.13
blue,-6.11,22.10
blue,-10.60,20.82
blue,-14.84,19.44
blue,-19.03,17.88
blue,-22.85,16.18
blue,-26.08,14.37
blue,-28.51,12.53
blue,-29.89,10.94
blue,-30.46,9.72
blue,-30.54,8.80
blue,-30.28,7.95
blue,-29.41,6.81
blue,-27.67,5.53
