tag,x,y
blue,57.52,46.20
blue,60.17,49.96
blue,63.00,53.94
blue,65.92,58.09
blue,68.80,62.34
blue,71.53,66.59
blue,73.99,70.75
blue,76.39,75.34
blue,78.15,79.49
blue,79.41,84.67
blue,77.53,88.66
blue,72.97,88.45
blue,68.34,86.90
blue,63.78,84.86
blue,59.21,82.63
blue,54.88,80.64
blue,50.11,79.11
blue,45.50,79.44
blue,42.16,82.58
blue,40.41,87.29
blue,39.57,91.67
blue,38.90,96.74
blue,38.38,101.65
blue,37.84,106.88
blue,37.34,111.54
blue,36.76,116.29
blue,36.10,121.08
blue,35.35,125.87
blue,34.33,131.40
blue,33.34,136.05
blue,32.25,140.60
blue,30.84,145.74
blue,29.52,149.98
blue,27.86,154.69
blue,25.81,159.71
blue,23.63,164.25
blue,21.35,168.18
blue,18.17,172.36
blue,14.18,175.25
blue,9.98,174.02
blue,7.52,169.83
blue,6.00,164.85
blue,5.11,160.03
blue,4.56,155.38
blue,4.21,150.44
blue,4.02,145.36
blue,3.99,140.21
blue,4.04,135.81
blue,4.20,130.74
blue,4.44,125.75
blue,4.76,120.86
blue,5.17,116.04
blue,5.76,110.58
blue,6.41,105.82
blue,7.20,101.03
blue,8.15,96.21
blue,9.25,91.37
blue,10.48,86.53
blue,11.79,81.77
blue,13.11,77.15
blue,14.51,72.16
blue,15.75,67.08
blue,16.35,62.24
blue,15.43,57.89
blue,11.72,55.08
blue,7.15,54.58
blue,2.00,55.01
blue,-2.62,55.70
blue,-7.64,56.56
blue,-12.13,57.30
blue,-17.40,58.08
blue,-22.52,58.64
blue,-27.27,58.90
blue,-32.02,58.75
blue,-37.00,57.77
blue,-41.02,54.83
blue,-41.77,50.27
blue,-41.33,45.16
blue,-41.66,40.45
blue,-43.40,35.95
blue,-45.95,31.76
blue,-48.26,27.28
blue,-48.30,22.60
blue,-45.29,18.70
blue,-41.45,16.04
blue,-37.14,13.78
blue,-32.55,11.68
blue,-28.05,9.69
blue,-23.43,7.57
blue,-18.72,5.39
blue,-14.33,3.64
blue,-9.44,2.33
blue,-4.74,1.68
yellow,59.99,44.49
yellow,62.61,48.22
yellow,65.45,52.21
yellow,68.38,56.39
yellow,71.30,60.68
yellow,73.63,64.29
yellow,76.20,68.58
yellow,78.78,73.39
yellow,80.75,77.86
yellow,82.11,82.42
yellow,82.26,87.17
yellow,79.87,90.86
yellow,75.49,91.85
yellow,70.79,90.96
yellow,66.17,89.24
yellow,61.45,87.07
yellow,56.92,84.86
yellow,52.47,82.91
yellow,47.66,81.95
yellow,44.33,84.93
yellow,43.01,89.44
yellow,42.20,94.51
yellow,41.66,99.12
yellow,41.14,104.16
yellow,40.66,108.74
yellow,40.13,113.47
yellow,39.42,119.09
yellow,38.70,123.95
yellow,37.88,128.79
yellow,36.95,133.57
yellow,35.91,138.27
yellow,34.76,142.86
yellow,33.50,147.32
yellow,31.90,152.32
yellow,30.16,157.08
yellow,28.28,161.54
yellow,25.99,166.20
yellow,23.57,170.28
yellow,20.68,174.06
yellow,16.94,177.25
yellow,12.52,178.46
yellow,8.38,176.64
yellow,5.56,172.77
yellow,3.84,168.38
yellow,2.69,163.70
yellow,1.87,158.44
yellow,1.45,154.23
yellow,1.14,149.13
yellow,1.00,143.93
yellow,0.99,139.45
yellow,1.08,134.27
yellow,1.27,129.17
yellow,1.53,124.16
yellow,1.88,119.24
yellow,2.32,114.37
yellow,2.87,109.53
yellow,3.55,104.68
yellow,4.38,99.80
yellow,5.37,94.88
yellow,6.50,89.96
yellow,7.58,85.76
yellow,8.90,80.95
yellow,10.41,75.68
yellow,11.62,71.38
yellow,12.81,66.48
yellow,13.31,61.22
yellow,10.58,57.87
yellow,5.74,57.64
yellow,1.16,58.15
yellow,-3.52,58.90
yellow,-8.62,59.77
yellow,-13.18,60.51
yellow,-18.53,61.25
yellow,-23.00,61.69
yellow,-28.55,61.91
yellow,-32.88,61.68
yellow,-37.99,60.60
yellow,-42.02,58.32
yellow,-44.42,54.37
yellow,-44.73,49.48
yellow,-44.30,44.45
yellow,-44.93,39.87
yellow,-47.11,35.54
yellow,-49.70,31.33
yellow,-51.47,26.93
yellow,-51.33,22.19
yellow,-48.95,18.10
yellow,-45.22,14.88
yellow,-40.95,12.33
yellow,-36.74,10.28
yellow,-32.10,8.20
yellow,-27.71,6.24
yellow,-23.23,4.16
yellow,-18.82,2.16
yellow,-14.05,0.40
yellow,-9.55,-0.71
yellow,-4.45,-1.35
big_orange,54.94,42.37
big_orange,57.46,40.74
big_orange,54.67,41.95
big_orange,57.19,40.32
big_orange,-4.61,1.89
big_orange,-4.32,-1.14
big_orange,-4.88,1.47
big_orange,-4.59,-1.56
