tag,x,y
blue,10.66,1.44
blue,15.77,1.69
blue,19.84,2.30
blue,24.55,3.83
blue,28.34,6.31
blue,30.73,9.59
blue,31.46,13.45
blue,30.73,16.77
blue,28.19,20.90
blue,25.01,23.90
blue,21.15,26.46
blue,16.95,28.57
blue,12.73,30.33
blue,7.79,32.39
blue,3.39,34.77
blue,0.29,37.16
blue,-3.24,40.80
blue,-6.77,44.91
blue,-9.85,48.26
blue,-13.26,51.33
blue,-16.94,53.78
blue,-20.73,55.35
blue,-25.27,55.83
blue,-29.17,54.69
blue,-32.19,52.09
blue,-34.18,48.32
blue,-35.10,43.79
blue,-35.09,38.94
blue,-34.45,34.09
blue,-33.50,29.38
blue,-32.41,24.84
blue,-31.22,20.44
blue,-29.78,16.20
blue,-27.46,11.49
blue,-24.84,8.08
blue,-21.59,5.34
blue,-17.77,3.37
blue,-13.56,2.18
blue,-8.23,1.59
blue,-3.69,1.50
blue,0.93,1.50
yellow,10.69,-1.56
yellow,16.06,-1.30
yellow,20.47,-0.63
yellow,24.78,0.67
yellow,29.56,3.40
yellow,32.46,6.53
yellow,34.15,10.39
yellow,34.36,14.65
yellow,33.07,18.91
yellow,30.47,22.85
yellow,26.86,26.27
yellow,22.63,29.07
yellow,18.18,31.30
yellow,13.85,33.11
yellow,9.03,35.12
yellow,5.04,37.28
yellow,0.98,40.65
yellow,-2.35,44.35
yellow,-5.27,47.75
yellow,-8.60,51.23
yellow,-12.39,54.43
yellow,-16.59,56.97
yellow,-21.05,58.52
yellow,-25.52,58.82
yellow,-29.66,57.78
yellow,-33.88,54.74
yellow,-36.22,51.26
yellow,-37.60,47.24
yellow,-38.19,41.90
yellow,-37.98,37.66
yellow,-37.23,32.58
yellow,-36.21,27.79
yellow,-34.86,22.29
yellow,-33.54,17.79
yellow,-31.82,13.33
yellow,-29.47,9.09
yellow,-26.33,5.32
yellow,-22.41,2.31
yellow,-18.86,0.57
yellow,-14.13,-0.77
yellow,-9.33,-1.36
yellow,-3.70,-1.50
yellow,0.93,-1.50
big_orange,6.92,1.45
big_orange,6.89,-1.55
big_orange,6.42,1.45
big_orange,6.39,-1.55
