tag,x,y
blue,35.26,214.73
blue,32.00,217.37
blue,28.70,220.04
blue,23.65,224.07
blue,20.22,226.75
blue,16.73,229.42
blue,13.18,232.06
blue,9.57,234.67
blue,5.89,237.23
blue,0.27,240.94
blue,-3.55,243.31
blue,-7.43,245.59
blue,-11.37,247.77
blue,-15.35,249.82
blue,-19.37,251.75
blue,-23.43,253.53
blue,-27.52,255.16
blue,-31.64,256.63
blue,-35.77,257.93
blue,-39.90,259.06
blue,-44.03,260.00
blue,-48.16,260.74
blue,-52.26,261.30
blue,-56.33,261.65
blue,-62.36,261.79
blue,-66.31,261.63
blue,-70.20,261.26
blue,-74.01,260.69
blue,-77.74,259.91
blue,-81.38,258.92
blue,-86.65,257.07
blue,-90.03,255.59
blue,-93.29,253.92
blue,-96.42,252.07
blue,-100.88,248.96
blue,-103.68,246.67
blue,-106.34,244.22
blue,-110.05,240.27
blue,-112.35,237.46
blue,-114.49,234.51
blue,-116.47,231.45
blue,-119.17,226.64
blue,-120.78,223.30
blue,-122.23,219.88
blue,-124.14,214.60
blue,-125.23,210.99
blue,-126.18,207.32
blue,-127.35,201.73
blue,-127.97,197.95
blue,-128.47,194.14
blue,-128.99,188.38
blue,-129.19,184.52
blue,-129.30,180.65
blue,-129.27,174.84
blue,-129.14,170.97
blue,-128.80,165.18
blue,-128.47,161.33
blue,-127.86,155.58
blue,-127.38,151.77
blue,-126.84,147.98
blue,-125.94,142.32
blue,-125.28,138.57
blue,-124.22,132.99
blue,-123.07,127.45
blue,-122.27,123.78
blue,-120.99,118.31
blue,-120.10,114.69
blue,-118.70,109.28
blue,-117.73,105.70
blue,-116.19,100.36
blue,-115.13,96.82
blue,-113.44,91.55
blue,-111.66,86.32
blue,-110.41,82.86
blue,-108.43,77.71
blue,-107.04,74.31
blue,-104.83,69.26
blue,-103.27,65.94
blue,-100.80,61.03
blue,-99.05,57.80
blue,-96.28,53.06
blue,-94.33,49.96
blue,-91.25,45.43
blue,-89.08,42.49
blue,-85.65,38.21
blue,-83.25,35.46
blue,-80.76,32.79
blue,-76.85,28.95
blue,-74.13,26.51
blue,-69.88,23.04
blue,-66.94,20.85
blue,-63.92,18.78
blue,-59.24,15.88
blue,-56.02,14.10
blue,-51.06,11.64
blue,-47.67,10.16
blue,-44.23,8.80
blue,-38.95,6.99
blue,-35.38,5.93
blue,-29.93,4.57
blue,-26.26,3.81
blue,-22.56,3.17
blue,-16.96,2.41
blue,-13.21,2.04
blue,-7.56,1.67
blue,-3.78,1.54
yellow,37.15,217.07
yellow,33.89,219.71
yellow,28.90,223.72
yellow,25.51,226.42
yellow,22.05,229.12
yellow,18.54,231.81
yellow,14.95,234.48
yellow,11.30,237.12
yellow,5.70,240.98
yellow,1.88,243.47
yellow,-2.00,245.88
yellow,-5.95,248.20
yellow,-9.95,250.41
yellow,-14.01,252.51
yellow,-18.12,254.47
yellow,-22.27,256.30
yellow,-26.46,257.97
yellow,-30.68,259.48
yellow,-34.92,260.81
yellow,-41.30,262.48
yellow,-45.56,263.35
yellow,-49.81,264.02
yellow,-54.04,264.49
yellow,-58.24,264.74
yellow,-62.40,264.79
yellow,-68.54,264.46
yellow,-72.56,263.97
yellow,-76.50,263.26
yellow,-80.36,262.33
yellow,-85.96,260.55
yellow,-89.56,259.10
yellow,-93.04,257.45
yellow,-98.03,254.60
yellow,-101.18,252.47
yellow,-104.19,250.16
yellow,-108.43,246.37
yellow,-111.07,243.65
yellow,-114.72,239.29
yellow,-116.96,236.21
yellow,-119.03,233.01
yellow,-121.84,228.01
yellow,-123.51,224.54
yellow,-125.02,220.99
yellow,-126.99,215.53
yellow,-128.12,211.80
yellow,-129.54,206.11
yellow,-130.31,202.26
yellow,-130.94,198.38
yellow,-131.65,192.51
yellow,-131.98,188.58
yellow,-132.26,182.67
yellow,-132.31,178.72
yellow,-132.27,174.77
yellow,-132.04,168.87
yellow,-131.79,164.95
yellow,-131.27,159.11
yellow,-130.84,155.23
yellow,-130.09,149.45
yellow,-129.52,145.62
yellow,-128.57,139.93
yellow,-127.89,136.16
yellow,-126.79,130.54
yellow,-126.01,126.82
yellow,-124.77,121.28
yellow,-123.91,117.61
yellow,-122.55,112.14
yellow,-121.11,106.70
yellow,-120.11,103.10
yellow,-118.54,97.72
yellow,-117.44,94.16
yellow,-115.70,88.84
yellow,-113.86,83.56
yellow,-112.57,80.07
yellow,-110.52,74.87
yellow,-109.07,71.43
yellow,-106.77,66.32
yellow,-105.15,62.96
yellow,-102.57,57.98
yellow,-100.75,54.72
yellow,-97.86,49.91
yellow,-95.82,46.77
yellow,-92.59,42.17
yellow,-90.31,39.19
yellow,-86.72,34.85
yellow,-84.21,32.06
yellow,-80.26,28.05
yellow,-77.50,25.48
yellow,-73.20,21.83
yellow,-70.21,19.52
yellow,-65.57,16.27
yellow,-62.37,14.25
yellow,-57.43,11.45
yellow,-54.04,9.73
yellow,-48.83,7.39
yellow,-45.28,5.99
yellow,-41.67,4.71
yellow,-36.18,3.04
yellow,-32.46,2.08
yellow,-26.82,0.86
yellow,-23.03,0.21
yellow,-17.30,-0.57
yellow,-13.46,-0.95
yellow,-7.70,-1.33
yellow,-3.85,-1.46
big_orange,38.29,212.29
big_orange,40.17,214.62
big_orange,38.68,211.97
big_orange,40.56,214.31
big_orange,-3.97,1.70
big_orange,-4.04,-1.30
big_orange,-3.58,1.38
big_orange,-3.65,-1.61
