tag,x,y
blue,11.30,1.39
blue,16.11,0.76
blue,19.98,-1.57
blue,20.87,-5.76
blue,19.69,-10.63
blue,18.08,-15.22
blue,16.50,-20.01
blue,15.34,-24.97
blue,15.29,-29.84
blue,18.26,-33.01
blue,22.94,-32.68
blue,27.81,-31.75
blue,32.40,-32.40
blue,35.69,-35.39
blue,38.09,-39.94
blue,39.82,-44.34
blue,41.66,-49.38
blue,43.23,-53.54
blue,45.19,-58.33
blue,47.34,-62.90
blue,49.93,-67.50
blue,52.61,-71.26
blue,56.34,-74.85
blue,60.79,-76.38
blue,65.02,-74.33
blue,68.24,-70.81
blue,71.41,-67.01
blue,74.70,-63.22
blue,77.49,-59.14
blue,78.80,-54.55
blue,78.40,-49.49
blue,76.88,-45.04
blue,74.52,-40.68
blue,71.58,-36.60
blue,68.28,-32.91
blue,64.81,-29.65
blue,60.92,-26.53
blue,56.67,-23.58
blue,52.61,-21.11
blue,47.99,-18.59
blue,43.46,-16.28
blue,39.27,-14.14
blue,34.77,-11.38
blue,31.89,-7.99
blue,31.77,-3.58
blue,34.13,0.83
blue,37.10,4.63
blue,40.43,8.48
blue,43.71,12.22
blue,46.67,15.66
blue,50.14,19.88
blue,53.00,23.61
blue,56.05,27.95
blue,58.64,32.16
blue,60.87,36.58
blue,62.36,41.16
blue,61.43,45.56
blue,57.06,45.09
blue,52.65,42.89
blue,48.70,40.25
blue,44.73,37.17
blue,40.92,33.99
blue,37.00,30.67
blue,33.10,27.61
blue,28.62,24.95
blue,24.18,23.75
blue,19.24,24.14
blue,14.52,25.61
blue,10.16,27.53
blue,5.73,30.11
blue,1.80,32.94
blue,-2.21,36.21
blue,-5.85,39.35
blue,-9.83,42.76
blue,-13.60,45.88
blue,-17.53,48.91
blue,-21.49,51.63
blue,-25.76,54.08
blue,-30.65,55.94
blue,-34.76,55.23
blue,-34.70,50.58
blue,-33.03,46.31
blue,-30.70,42.04
blue,-27.96,37.70
blue,-25.19,33.57
blue,-22.35,29.02
blue,-20.59,24.65
blue,-21.16,20.36
blue,-24.68,16.78
blue,-28.62,14.20
blue,-32.54,10.98
blue,-32.54,7.13
blue,-28.27,4.68
blue,-23.91,3.40
blue,-18.55,2.45
blue,-14.07,1.96
blue,-9.38,1.67
blue,-3.85,1.52
blue,0.75,1.50
yellow,11.14,-1.60
yellow,15.94,-2.32
yellow,17.81,-6.04
yellow,16.55,-10.54
yellow,14.91,-15.19
yellow,13.33,-20.16
yellow,12.31,-24.99
yellow,12.23,-29.69
yellow,14.02,-33.95
yellow,18.03,-36.01
yellow,22.90,-35.74
yellow,27.87,-34.76
yellow,32.22,-35.90
yellow,34.80,-39.93
yellow,36.62,-44.36
yellow,38.42,-49.25
yellow,40.19,-54.02
yellow,41.92,-58.31
yellow,44.09,-63.11
yellow,46.46,-67.56
yellow,48.98,-71.46
yellow,52.27,-75.34
yellow,55.97,-78.15
yellow,60.63,-79.39
yellow,65.20,-77.96
yellow,68.79,-74.78
yellow,72.05,-70.90
yellow,75.17,-67.26
yellow,78.46,-63.28
yellow,80.76,-59.19
yellow,81.82,-54.50
yellow,81.48,-49.52
yellow,80.08,-44.90
yellow,77.94,-40.53
yellow,75.31,-36.52
yellow,72.08,-32.57
yellow,68.65,-29.08
yellow,64.79,-25.73
yellow,60.98,-22.87
yellow,56.92,-20.19
yellow,52.69,-17.71
yellow,47.98,-15.20
yellow,43.50,-12.95
yellow,39.23,-10.70
yellow,35.25,-7.76
yellow,35.04,-3.45
yellow,37.71,0.61
yellow,40.96,4.53
yellow,44.05,8.06
yellow,47.45,11.96
yellow,50.47,15.54
yellow,53.48,19.28
yellow,56.80,23.74
yellow,59.38,27.56
yellow,61.92,31.89
yellow,64.08,36.50
yellow,65.39,41.07
yellow,64.99,45.97
yellow,61.60,48.64
yellow,56.87,48.20
yellow,52.47,46.25
yellow,48.32,43.66
yellow,44.18,40.58
yellow,40.66,37.70
yellow,36.58,34.24
yellow,32.64,31.01
yellow,28.71,28.35
yellow,24.13,26.76
yellow,19.20,27.24
yellow,14.59,28.81
yellow,10.18,30.91
yellow,5.88,33.64
yellow,1.93,36.67
yellow,-1.83,39.84
yellow,-5.62,43.11
yellow,-9.30,46.24
yellow,-13.22,49.40
yellow,-17.30,52.43
yellow,-21.41,55.11
yellow,-25.88,57.46
yellow,-30.43,58.95
yellow,-35.08,58.69
yellow,-37.90,55.47
yellow,-37.82,50.65
yellow,-36.19,45.99
yellow,-33.87,41.51
yellow,-31.42,37.51
yellow,-28.58,33.24
yellow,-25.84,29.04
yellow,-23.65,24.55
yellow,-24.85,20.47
yellow,-28.70,17.72
yellow,-32.75,14.93
yellow,-35.84,11.41
yellow,-36.01,6.90
yellow,-32.98,3.67
yellow,-28.24,1.49
yellow,-23.93,0.33
yellow,-18.95,-0.53
yellow,-14.32,-1.03
yellow,-8.70,-1.36
yellow,-3.89,-1.48
yellow,0.75,-1.50
big_orange,6.67,1.51
big_orange,6.65,-1.49
big_orange,6.17,1.51
big_orange,6.15,-1.49
